player_name,season,age,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
Al Horford,2010,24.0,81,14.2,9.9,2.3,8.2,0.0969999999999999,0.231,0.179,0.594,0.102
Al Horford,2011,25.0,77,15.3,9.3,3.5,0.2,0.081,0.233,0.1989999999999999,0.5870000000000001,0.1689999999999999
Al Horford,2012,26.0,11,12.4,7.0,2.2,6.8,0.088,0.179,0.178,0.585,0.113
Al Horford,2013,27.0,74,17.4,10.2,3.2,3.3,0.084,0.2289999999999999,0.221,0.56,0.149
Al Horford,2014,28.0,29,18.6,8.4,2.6,3.7,0.078,0.212,0.246,0.588,0.139
Al Horford,2015,29.0,76,15.2,7.2,3.2,6.6,0.068,0.193,0.225,0.563,0.178
Al Horford,2016,30.0,82,15.2,7.3,3.2,4.9,0.062,0.18,0.206,0.565,0.165
Al Horford,2017,31.0,68,14.0,6.8,5.0,5.0,0.049,0.183,0.1989999999999999,0.5529999999999999,0.239
Al Horford,2018,32.0,72,12.9,7.4,4.7,7.3,0.047,0.178,0.183,0.575,0.225
Al Horford,2019,33.0,68,13.6,6.7,4.2,6.1,0.062,0.161,0.188,0.605,0.203
Al Horford,2020,34.0,67,11.9,6.8,4.0,3.3,0.051,0.171,0.173,0.536,0.187
Al Horford,2021,35.0,28,14.2,6.7,3.4,-6.9,0.034,0.195,0.221,0.5379999999999999,0.206
Al Horford,2022,36.0,69,10.2,7.7,3.4,9.3,0.054,0.201,0.147,0.574,0.159
Al Horford,2023,37.0,63,9.8,6.2,3.0,7.8,0.039,0.159,0.119,0.631,0.128
Al Jefferson,2005,20.0,71,6.7,4.4,0.3,-1.7,0.1369999999999999,0.205,0.212,0.5539999999999999,0.042
Al Jefferson,2006,21.0,59,7.9,5.1,0.5,-4.1,0.1119999999999999,0.2319999999999999,0.22,0.53,0.055
Al Jefferson,2007,22.0,69,16.0,11.0,1.3,-4.2,0.123,0.267,0.228,0.547,0.071
Al Jefferson,2008,23.0,82,21.0,11.1,1.4,-11.2,0.118,0.251,0.276,0.535,0.075
Al Jefferson,2009,24.0,50,23.1,11.0,1.6,-4.6,0.107,0.246,0.288,0.532,0.0819999999999999
Al Jefferson,2010,25.0,76,17.1,9.3,1.8,-11.1,0.08,0.247,0.247,0.524,0.099
Al Jefferson,2011,26.0,82,18.6,9.7,1.8,-3.2,0.094,0.228,0.242,0.528,0.09
Al Jefferson,2012,27.0,61,19.2,9.6,2.2,3.2,0.074,0.248,0.261,0.52,0.113
Al Jefferson,2013,28.0,78,17.8,9.2,2.1,-3.5,0.07,0.265,0.26,0.522,0.119
Al Jefferson,2014,29.0,73,21.8,10.8,2.1,1.2,0.07,0.281,0.297,0.532,0.122
Al Jefferson,2015,30.0,65,16.6,8.4,1.7,-3.7,0.054,0.26,0.267,0.5,0.11
Al Jefferson,2016,31.0,47,12.0,6.4,1.5,3.7,0.0559999999999999,0.244,0.245,0.507,0.114
Al Jefferson,2017,32.0,66,8.1,4.2,0.9,-5.8,0.086,0.251,0.26,0.526,0.114
Al Jefferson,2018,33.0,36,7.0,4.0,0.8,-1.8,0.061,0.2269999999999999,0.218,0.563,0.098
Al Thornton,2008,24.0,79,12.7,4.5,1.2,-9.2,0.052,0.141,0.242,0.504,0.084
Al Thornton,2009,25.0,71,16.8,5.2,1.5,-10.6,0.052,0.114,0.228,0.502,0.068
Al Thornton,2010,26.0,75,10.7,3.9,1.2,-7.5,0.065,0.105,0.192,0.523,0.072
Al Thornton,2011,27.0,71,7.4,3.0,0.9,-4.8,0.048,0.139,0.182,0.531,0.072
Al-Farouq Aminu,2011,20.0,81,5.6,3.3,0.7,-7.8,0.06,0.154,0.171,0.499,0.067
Al-Farouq Aminu,2012,21.0,66,6.0,4.7,1.0,-0.2,0.079,0.166,0.163,0.481,0.074
Al-Farouq Aminu,2013,22.0,76,7.3,7.7,1.4,-1.3,0.079,0.255,0.144,0.519,0.076
Al-Farouq Aminu,2014,23.0,80,7.2,6.2,1.4,-3.8,0.071,0.213,0.142,0.516,0.083
Al-Farouq Aminu,2015,24.0,74,5.6,4.6,0.8,5.7,0.091,0.18,0.151,0.504,0.062
Al-Farouq Aminu,2016,25.0,82,10.2,6.1,1.7,1.5,0.045,0.185,0.1689999999999999,0.5329999999999999,0.087
Al-Farouq Aminu,2017,26.0,61,8.7,7.4,1.6,1.8,0.049,0.2319999999999999,0.158,0.506,0.0819999999999999
Al-Farouq Aminu,2018,27.0,69,9.3,7.6,1.2,5.2,0.045,0.198,0.145,0.522,0.0559999999999999
Al-Farouq Aminu,2019,28.0,81,9.4,7.5,1.3,8.2,0.048,0.204,0.134,0.568,0.057
Al-Farouq Aminu,2020,29.0,18,4.3,4.8,1.2,-5.4,0.053,0.158,0.127,0.395,0.088
Al-Farouq Aminu,2021,30.0,23,4.4,4.8,1.3,-6.2,0.05,0.2,0.138,0.469,0.1009999999999999
Alan Anderson,2006,23.0,36,5.8,1.9,0.9,-0.3,0.044,0.1,0.182,0.52,0.093
Alan Anderson,2007,24.0,17,5.8,1.9,1.2,-3.3,0.052,0.107,0.2019999999999999,0.5379999999999999,0.144
Alan Anderson,2012,29.0,17,9.6,2.0,1.5,-1.5,0.02,0.063,0.191,0.519,0.1
Alan Anderson,2013,30.0,65,10.7,2.3,1.6,-3.7,0.026,0.0969999999999999,0.237,0.509,0.125
Alan Anderson,2014,31.0,78,7.2,2.2,1.0,0.2,0.027,0.089,0.16,0.525,0.074
Alan Anderson,2015,32.0,74,7.4,2.8,1.1,-1.4,0.02,0.109,0.142,0.563,0.074
Alan Anderson,2016,33.0,13,5.0,2.1,1.1,5.4,0.006,0.149,0.157,0.495,0.1119999999999999
Alan Anderson,2017,34.0,30,2.9,0.8,0.4,-10.8,0.011,0.077,0.142,0.494,0.052
Alan Henderson,1997,24.0,30,6.6,3.9,0.8,-9.7,0.114,0.184,0.2019999999999999,0.51,0.078
Alan Henderson,1998,25.0,69,14.3,6.4,1.1,3.4,0.1159999999999999,0.134,0.2339999999999999,0.534,0.068
Alan Henderson,1999,26.0,38,12.5,6.6,0.7,-3.1,0.102,0.152,0.2239999999999999,0.485,0.048
Alan Henderson,2000,27.0,82,13.2,7.0,0.9,-6.7,0.104,0.123,0.1939999999999999,0.503,0.045
Alan Henderson,2001,28.0,73,10.5,5.6,0.7,-8.8,0.109,0.147,0.2239999999999999,0.487,0.05
Alan Henderson,2002,29.0,26,5.5,3.7,0.4,1.7,0.087,0.171,0.17,0.527,0.043
Alan Henderson,2003,30.0,82,4.8,4.9,0.5,-7.2,0.12,0.182,0.135,0.508,0.046
Alan Henderson,2004,31.0,6,4.0,3.5,0.3,-19.6,0.196,0.175,0.188,0.508,0.0559999999999999
Alan Henderson,2005,32.0,78,3.5,4.5,0.3,-3.5,0.149,0.1689999999999999,0.114,0.539,0.0289999999999999
